Time,Balance,Cash,Equity,Positions
2020-09-24,2073.5237140655518,1.1636276245117188,2072.36008644104,206
2020-09-25,2092.063549041748,1.1636276245117188,2090.8999214172363,206
2020-09-28,2092.063549041748,1.1636276245117188,2090.8999214172363,206
2020-09-29,2087.943651199341,1.1636276245117188,2086.780023574829,206
2020-09-30,2100.3035411834717,1.1636276245117188,2099.13991355896,206
2020-10-01,2096.1836433410645,1.1636276245117188,2095.0200157165527,206
2020-10-02,2106.4836826324463,1.1636276245117188,2105.3200550079346,206
2020-10-05,2085.8836040496826,1.1636276245117188,2084.719976425171,206
2020-10-06,2102.36358833313,1.1636276245117188,2101.199960708618,206
2020-10-07,2092.063549041748,2092.063549041748,0.0,0
2020-10-08,2092.063549041748,2092.063549041748,0.0,0
2020-10-09,2092.063549041748,2092.063549041748,0.0,0
2020-10-12,2092.063549041748,2092.063549041748,0.0,0
2020-10-13,2092.063549041748,2092.063549041748,0.0,0
2020-10-14,2092.063549041748,2092.063549041748,0.0,0
2020-10-15,2092.063549041748,2092.063549041748,0.0,0
2020-10-16,2092.063549041748,2092.063549041748,0.0,0
2020-10-19,2092.063549041748,2092.063549041748,0.0,0
2020-10-20,2092.063549041748,2092.063549041748,0.0,0
2020-10-21,2092.063549041748,2092.063549041748,0.0,0
2020-10-22,2092.063549041748,2092.063549041748,0.0,0
2020-10-23,2092.063549041748,2092.063549041748,0.0,0
2020-10-26,2092.063549041748,2092.063549041748,0.0,0
2020-10-27,2092.063549041748,2092.063549041748,0.0,0
2020-10-28,2092.063549041748,2092.063549041748,0.0,0
2020-10-29,2092.063549041748,2092.063549041748,0.0,0
2020-10-30,2092.063549041748,2092.063549041748,0.0,0
2020-11-02,2092.063549041748,2092.063549041748,0.0,0
2020-11-03,2092.063549041748,2092.063549041748,0.0,0
2020-11-04,2092.063549041748,2092.063549041748,0.0,0
2020-11-05,2092.063549041748,2092.063549041748,0.0,0
2020-11-06,2092.063549041748,2092.063549041748,0.0,0
2020-11-09,2092.063549041748,1.3634700775146484,2090.7000789642334,207
2020-11-10,2092.063549041748,1.3634700775146484,2090.7000789642334,207
2020-11-11,2092.063549041748,1.3634700775146484,2090.7000789642334,207
2020-11-12,2102.4133911132812,1.3634700775146484,2101.0499210357666,207
2020-11-13,2102.4133911132812,1.3634700775146484,2101.0499210357666,207
2020-11-16,2098.2734937667847,1.3634700775146484,2096.91002368927,207
2020-11-17,2097.445553779602,1.3634700775146484,2096.0820837020874,207
2020-11-18,2088.5445079803467,1.3634700775146484,2087.181037902832,207
2020-11-19,2092.063549041748,1.3634700775146484,2090.7000789642334,207
2020-11-20,2097.2384700775146,1.3634700775146484,2095.875,207
2020-11-23,2098.2734937667847,1.3634700775146484,2096.91002368927,207
2020-11-24,2118.9733753204346,1.3634700775146484,2117.60990524292,207
2020-11-25,2108.6235332489014,1.3634700775146484,2107.2600631713867,207
2020-11-27,2108.6235332489014,1.3634700775146484,2107.2600631713867,207
2020-11-30,2118.9733753204346,1.3634700775146484,2117.60990524292,207
2020-12-01,2096.2034463882446,1.3634700775146484,2094.83997631073,207
2020-12-02,2102.4133911132812,1.3634700775146484,2101.0499210357666,207
2020-12-03,2102.6204748153687,1.3634700775146484,2101.257004737854,207
2020-12-04,2102.4133911132812,1.3634700775146484,2101.0499210357666,207
2020-12-07,2112.763430595398,1.3634700775146484,2111.3999605178833,207
2020-12-08,2125.1835174560547,1.3634700775146484,2123.82004737854,207
2020-12-09,2129.3234148025513,1.3634700775146484,2127.9599447250366,207
2020-12-10,2143.813549041748,1.3634700775146484,2142.4500789642334,207
2020-12-11,2141.743501663208,1.3634700775146484,2140.3800315856934,207
2020-12-14,2154.1633911132812,1.3634700775146484,2152.7999210357666,207
2020-12-15,2133.4635095596313,1.3634700775146484,2132.1000394821167,207
2020-12-16,2143.813549041748,1.3634700775146484,2142.4500789642334,207
2020-12-17,2158.3034858703613,1.3634700775146484,2156.9400157928467,207
2020-12-18,2154.1633911132812,1.3634700775146484,2152.7999210357666,207
2020-12-21,2185.2135095596313,1.3634700775146484,2183.8500394821167,207
2020-12-22,2154.1633911132812,1.3634700775146484,2152.7999210357666,207
2020-12-23,2179.0035648345947,1.3634700775146484,2177.64009475708,207
2020-12-24,2205.49942111969,1.3634700775146484,2204.1359510421753,207
2020-12-28,2177.347487449646,1.3634700775146484,2175.9840173721313,207
2020-12-29,2145.8833990097046,1.3634700775146484,2144.51992893219,207
2020-12-30,2143.813549041748,1.3634700775146484,2142.4500789642334,207
2020-12-31,2168.653525352478,1.3634700775146484,2167.2900552749634,207
2021-01-04,2168.653525352478,1.3634700775146484,2167.2900552749634,207
2021-01-05,2154.1633911132812,2154.1633911132812,0.0,0
2021-01-06,2154.1633911132812,2154.1633911132812,0.0,0
2021-01-07,2154.1633911132812,2154.1633911132812,0.0,0
2021-01-08,2186.323552131653,5.473475456237793,2180.850076675415,201
2021-01-11,2140.0934524536133,5.473475456237793,2134.6199769973755,201
2021-01-12,2138.0834064483643,5.473475456237793,2132.6099309921265,201
2021-01-13,2175.268490791321,5.473475456237793,2169.795015335083,201
2021-01-14,2152.15353679657,5.473475456237793,2146.680061340332,201
2021-01-15,2124.0134677886963,5.473475456237793,2118.5399923324585,201
2021-01-19,2136.073552131653,5.473475456237793,2130.600076675415,201
2021-01-20,2115.973475456238,5.473475456237793,2110.5,201
2021-01-21,2252.65353679657,5.473475456237793,2247.180061340332,201
2021-01-22,2264.7134294509888,5.473475456237793,2259.239953994751,201
2021-01-25,2168.233521461487,5.473475456237793,2162.760046005249,201
2021-01-26,2126.0235137939453,5.473475456237793,2120.5500383377075,201
2021-01-27,2119.993567466736,2119.993567466736,0.0,0
2021-01-28,2119.993567466736,2119.993567466736,0.0,0
2021-01-29,2119.993567466736,2119.993567466736,0.0,0
2021-02-01,2119.993567466736,2119.993567466736,0.0,0
2021-02-02,2119.993567466736,2119.993567466736,0.0,0
2021-02-03,2119.993567466736,2119.993567466736,0.0,0
2021-02-04,2125.425543785095,10.825617790222168,2114.599925994873,194
2021-02-05,2094.385573387146,2094.385573387146,0.0,0
2021-02-08,2094.385573387146,2094.385573387146,0.0,0
2021-02-09,2094.385573387146,2094.385573387146,0.0,0
2021-02-10,2104.1356105804443,3.9855213165283203,2100.150089263916,195
2021-02-11,2080.7354469299316,3.9855213165283203,2076.7499256134033,195
2021-02-12,2100.2355213165283,3.9855213165283203,2096.25,195
2021-02-16,2148.9855213165283,3.9855213165283203,2145.0,195
2021-02-17,2139.23548412323,3.9855213165283203,2135.2499628067017,195
2021-02-18,2728.135573387146,3.9855213165283203,2724.1500520706177,195
2021-02-19,2927.0354766845703,3.9855213165283203,2923.049955368042,195
2021-02-22,2833.4355659484863,3.9855213165283203,2829.450044631958,195
2021-02-23,2581.885573387146,3.9855213165283203,2577.9000520706177,195
2021-02-24,2525.3355808258057,3.9855213165283203,2521.3500595092773,195
2021-02-25,2291.3354320526123,3.9855213165283203,2287.349910736084,195
2021-02-26,2279.6355361938477,3.9855213165283203,2275.6500148773193,195
2021-03-01,2455.135461807251,3.9855213165283203,2451.1499404907227,195
2021-03-02,2295.2355213165283,3.9855213165283203,2291.25,195
2021-03-03,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-04,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-05,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-08,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-09,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-10,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-11,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-12,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-15,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-16,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-17,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-18,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-19,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-22,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-23,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-24,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-25,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-26,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-29,2082.6854915618896,2082.6854915618896,0.0,0
2021-03-30,2082.6854915618896,2082.6854915618896,0.0,0
